best_bid_amount,best_ask_amount,ask_iv,bid_iv,underlying_index,underlying_price,mark_iv,best_bid_price,best_ask_price,interest_rate,mark_price,open_interest,max_price,min_price,settlement_price,last_price,asks,bids,instrument_name,index_price,change_id,timestamp,greeks.rho,greeks.theta,greeks.vega,greeks.gamma,greeks.delta,stats.volume_usd,stats.volume,stats.price_change,stats.low,stats.high,settlement_period,Expiration Date,Strike Price,Time to Expiration
21981.0,855.0,67.99,61.3,ETH-29NOV24,2690.49,63.24,0.134,0.14,0.0,0.1357,8613.0,0.1875,0.0955,0.126957,0.1,"[[0.14, 855.0]]","[[0.134, 21981.0], [0.1335, 8849.0], [0.133, 7838.0], [0.1325, 20238.0], [0.132, 34358.0], [0.1315, 30107.0], [0.131, 38004.0], [0.1305, 32605.0], [0.13, 17920.0], [0.1295, 9485.0], [0.129, 607.0]]",ETH-29NOV24-2400-C,2634.34,14429679362,1730245596919,1.40425,-2.49259,2.39193,0.00063,0.76355,0.0,0.0,,,,month,29NOV24,2400,0.0821917808219178
382.0,570.0,63.24,61.43,ETH-29NOV24,2690.57,62.52,0.0875,0.0895,0.0,0.0887,463.0,0.1425,0.051,0.081409,0.064,"[[0.0895, 570.0]]","[[0.0875, 382.0]]",ETH-29NOV24-2600-C,2634.42,14429656800,1730245597926,1.16669,-3.06545,2.97582,0.00079,0.6103,0.0,0.0,,,,month,29NOV24,2600,0.0821917808219178
823.0,663.0,62.34,61.04,ETH-29NOV24,2690.57,61.74,0.0685,0.07,0.0,0.0693,525.0,0.1225,0.035,0.06375,0.0355,"[[0.07, 663.0]]","[[0.0685, 823.0]]",ETH-29NOV24-2700-C,2634.42,14429670579,1730245598028,1.02517,-3.14105,3.0874,0.00083,0.52765,0.0,0.0,,,,month,29NOV24,2700,0.0821917808219178
159.0,859.0,62.93,62.03,ETH-29NOV24,2690.57,62.51,0.0545,0.0555,0.0,0.055,424.0,0.111,0.0245,0.0605,0.069,"[[0.0555, 859.0]]","[[0.0545, 159.0], [0.054, 2340.0], [0.0535, 534.0], [0.053, 9709.0], [0.0525, 6312.0], [0.052, 16100.0], [0.0515, 19600.0], [0.051, 28176.0], [0.0505, 26732.0], [0.05, 23210.0], [0.0495, 21896.0], [0.049, 15474.0], [0.0485, 9072.0], [0.048, 1037.0], [0.013, 122.0]]",ETH-29NOV24-2600-P,2634.42,14429681172,1730245598574,-0.9947,-3.0651,2.97574,0.00079,-0.3897,714.74,4.0,0.0,0.069,0.069,month,29NOV24,2600,0.0821917808219178
100.0,280.0,62.77,61.47,ETH-29NOV24,2690.57,61.74,0.0725,0.074,0.0,0.0728,158.0,0.1325,0.037,0.080499,0.0985,"[[0.074, 280.0]]","[[0.0725, 100.0]]",ETH-29NOV24-2700-P,2634.42,14429658800,1730245597926,-1.21942,-3.14101,3.08744,0.00083,-0.47235,0.0,0.0,,,,month,29NOV24,2700,0.0821917808219178
938.0,1179.0,62.76,61.45,ETH-29NOV24,2690.57,62.11,0.0535,0.055,0.0,0.0542,598.0,0.106,0.024,0.049249,0.0265,"[[0.055, 1179.0]]","[[0.0535, 938.0]]",ETH-29NOV24-2800-C,2634.43,14429678243,1730245598933,0.87861,-3.13968,3.06756,0.00082,0.44707,0.0,0.0,,,,month,29NOV24,2800,0.0821917808219178
100.0,100.0,65.68,59.1,ETH-29NOV24,2690.57,62.11,0.0915,0.099,0.0,0.0949,34.0,0.158,0.054,0.103659,0.1255,"[[0.099, 100.0]]","[[0.0915, 100.0]]",ETH-29NOV24-2800-P,2634.43,14429680881,1730245598933,-1.44904,-3.13971,3.06752,0.00082,-0.55293,156235.98,500.0,6.3559,0.118,0.1255,month,29NOV24,2800,0.0821917808219178
1418.0,340.0,63.67,62.19,ETH-29NOV24,2690.57,62.94,0.0315,0.033,0.0,0.0322,213.0,0.0795,0.0105,0.028798,0.0155,"[[0.033, 340.0]]","[[0.0315, 1418.0]]",ETH-29NOV24-3000-C,2634.43,14429603078,1730245598933,0.61083,-2.81925,2.71873,0.00072,0.30532,0.0,0.0,,,,month,29NOV24,3000,0.0821917808219178
11471.0,75.0,144.73,66.94,ETH-29NOV24,2690.57,66.89,0.2755,0.347,0.0,0.2755,0.0,0.3465,0.222,0.291001,0.3735,"[[0.347, 75.0]]","[[0.2755, 11471.0], [0.275, 47420.0], [0.2745, 56072.0], [0.274, 46227.0], [0.2735, 28991.0], [0.273, 57006.0], [0.2725, 59992.0], [0.272, 71400.0], [0.2715, 84178.0], [0.271, 73345.0], [0.2705, 82933.0], [0.27, 43580.0], [0.2695, 26743.0], [0.269, 18447.0], [0.2685, 8352.0], [0.268, 5130.0], [0.2675, 2439.0], [0.267, 525.0]]",ETH-29NOV24-3400-P,2634.42,14429681620,1730245600460,-2.55752,-1.82834,1.6586,0.00041,-0.86798,0.0,0.0,,,,month,29NOV24,3400,0.0821917808219178
100.0,100.0,68.06,57.13,ETH-29NOV24,2690.57,62.94,0.1415,0.1525,0.0,0.1473,1368.0,0.2145,0.0995,0.158519,0.245,"[[0.1525, 100.0]]","[[0.1415, 100.0]]",ETH-29NOV24-3000-P,2634.43,14429680393,1730245598933,-1.88315,-2.81935,2.71852,0.00072,-0.69469,0.0,0.0,,,,month,29NOV24,3000,0.0821917808219178
1151.0,100.0,62.95,61.57,ETH-29NOV24,2690.57,62.27,0.041,0.0425,0.0,0.0417,482.0,0.0915,0.0155,0.037749,0.02,"[[0.0425, 100.0]]","[[0.041, 1151.0]]",ETH-29NOV24-2900-C,2634.43,14429659846,1730245598933,0.73769,-3.00949,2.93305,0.00078,0.37156,0.0,0.0,,,,month,29NOV24,2900,0.0821917808219178
100.0,100.0,65.83,58.49,ETH-29NOV24,2690.57,62.27,0.1155,0.1235,0.0,0.1196,868.0,0.185,0.075,0.129814,0.208,"[[0.1235, 100.0]]","[[0.1155, 100.0]]",ETH-29NOV24-2900-P,2634.43,14429678117,1730245598933,-1.67315,-3.00951,2.93301,0.00078,-0.62844,0.0,0.0,,,,month,29NOV24,2900,0.0821917808219178
1175.0,1144.0,67.22,64.73,ETH-29NOV24,2690.57,66.89,0.0105,0.012,0.0,0.0118,452.0,0.047,0.0001,0.010647,0.006,"[[0.012, 1144.0]]","[[0.0105, 1175.0]]",ETH-29NOV24-3400-C,2634.43,14429604384,1730245598933,0.26895,-1.82838,1.65884,0.00041,0.13203,0.0,0.0,,,,month,29NOV24,3400,0.0821917808219178
539.0,72.0,151.49,56.49,ETH-29NOV24,2690.57,67.91,0.305,0.3835,0.0,0.3101,0.0,0.3815,0.2555,0.326247,,"[[0.3835, 72.0]]","[[0.305, 539.0]]",ETH-29NOV24-3500-P,2634.42,14429681180,1730245598574,-2.69199,-1.59483,1.42514,0.00035,-0.8935,0.0,0.0,,,,month,29NOV24,3500,0.0821917808219178
586.0,995.0,65.56,63.71,ETH-29NOV24,2690.57,64.64,0.0185,0.02,0.0,0.0192,633.0,0.0605,0.0043,0.017244,0.0175,"[[0.02, 995.0]]","[[0.0185, 586.0]]",ETH-29NOV24-3200-C,2634.43,14429603767,1730245598933,0.40711,-2.3218,2.18005,0.00056,0.20125,0.0,0.0,,,,month,29NOV24,3200,0.0821917808219178
696.0,696.0,70.49,56.66,ETH-29NOV24,2690.57,64.64,0.2025,0.2135,0.0,0.2086,1.0,0.278,0.1575,0.222282,0.319,"[[0.2135, 696.0]]","[[0.2025, 696.0]]",ETH-29NOV24-3200-P,2634.43,14429680864,1730245598933,-2.25312,-2.32182,2.17982,0.00056,-0.79877,0.0,0.0,,,,month,29NOV24,3200,0.0821917808219178
651.0,1895.0,69.32,66.49,ETH-29NOV24,2690.57,67.91,0.0085,0.01,0.0,0.0092,0.0,0.0415,0.0001,0.008234,,"[[0.01, 1895.0]]","[[0.0085, 651.0]]",ETH-29NOV24-3500-C,2634.43,14429604844,1730245598933,0.2176,-1.5949,1.42537,0.00035,0.10652,0.0,0.0,,,,month,29NOV24,3500,0.0821917808219178
0.0,0.0,0.0,0.0,ETH-29NOV24,2690.57,78.54,0.0,0.0,0.0,0.0164,0.0,0.0505,0.0014,0.014773,0.0465,[],[],ETH-29NOV24-3600-C,2634.43,14252040079,1730245598933,0.33693,-2.10021,1.91237,0.00034,0.14421,0.0,0.0,,,,month,29NOV24,3600,0.0821917808219178
0.0,0.0,0.0,0.0,ETH-29NOV24,2690.6,78.54,0.0,0.0,0.0,0.3544,0.0,0.428,0.2925,0.37045,0.48,[],[],ETH-29NOV24-3600-P,2634.46,14252612087,1730245599940,-3.18982,-2.10033,1.91249,0.00034,-0.85578,0.0,0.0,,,,month,29NOV24,3600,0.0821917808219178
10.0,10.0,71.06,69.81,ETH-29NOV24,2690.6,57.26,0.0042,0.0046,0.0,0.0013,0.0,0.016,0.0001,0.001177,0.0156,"[[0.0046, 10.0]]","[[0.0042, 10.0]]",ETH-29NOV24-3800-C,2634.46,14429660855,1730245599940,0.04695,-0.38841,0.41167,0.00012,0.02229,0.0,0.0,,,,month,29NOV24,3800,0.0821917808219178
381.0,241.0,74.45,71.93,ETH-29NOV24,2690.6,74.45,0.0027,0.0033,0.0,0.0033,11.0,0.0255,0.0001,0.003267,0.0033,"[[0.0033, 241.0]]","[[0.0027, 381.0]]",ETH-29NOV24-4000-C,2634.46,14429605285,1730245599940,0.08422,-0.83589,0.68139,0.00015,0.04095,8.68,1.0,0.0,0.0033,0.0033,month,29NOV24,4000,0.0821917808219178
0.0,10.0,56.44,0.0,ETH-29NOV24,2690.6,57.26,0.0,0.4135,0.0,0.4136,0.0,0.4785,0.3585,0.432167,,"[[0.4135, 10.0]]",[],ETH-29NOV24-3800-P,2634.46,14429670347,1730245599940,-3.11205,-0.3884,0.41165,0.00012,-0.97771,0.0,0.0,,,,month,29NOV24,3800,0.0821917808219178
0.0,60.0,179.91,0.0,ETH-29NOV24,2690.6,74.45,0.0,0.566,0.0,0.49,954.0,0.564,0.4305,0.509572,0.6155,"[[0.566, 60.0]]",[],ETH-29NOV24-4000-P,2634.46,14429678186,1730245599940,-3.24107,-0.8358,0.68126,0.00015,-0.95906,0.0,0.0,,,,month,29NOV24,4000,0.0821917808219178
0.0,0.0,0.0,0.0,ETH-29NOV24,2690.6,93.27,0.0,0.0,0.0,0.0091,0.0,0.04,0.0001,0.008251,0.0165,[],[],ETH-29NOV24-4200-C,2634.46,14308547944,1730245599940,0.17625,-1.64638,1.2124,0.00019,0.07875,0.0,0.0,,,,month,29NOV24,4200,0.0821917808219178
0.0,0.0,0.0,0.0,ETH-29NOV24,2690.6,93.27,0.0,0.0,0.0,0.571,0.0,0.654,0.503,0.590698,,[],[],ETH-29NOV24-4200-P,2634.46,14252039905,1730245599940,-3.91988,-1.69203,1.29739,0.0002,-0.91613,0.0,0.0,,,,month,29NOV24,4200,0.0821917808219178
578.0,260.0,88.95,81.2,ETH-29NOV24,2690.6,88.96,0.0004,0.0009,0.0,0.0009,251.0,0.0155,0.0001,0.0008,0.0008,"[[0.0009, 260.0]]","[[0.0004, 578.0]]",ETH-29NOV24-5000-C,2634.46,14429605825,1730245599940,0.02277,-0.33131,0.22605,4e-05,0.01108,515.53,250.0,0.0,0.0008,0.0008,month,29NOV24,5000,0.0821917808219178
0.0,53.0,208.63,0.0,ETH-29NOV24,2690.6,81.32,0.0,0.755,0.0,0.674,382.0,0.753,0.6085,0.696094,0.7252,"[[0.755, 53.0]]",[],ETH-29NOV24-4500-P,2634.46,14429678264,1730245599952,-3.70194,-0.48032,0.35846,7e-05,-0.98107,0.0,0.0,,,,month,29NOV24,4500,0.0821917808219178
1622.0,240.0,81.31,77.04,ETH-29NOV24,2690.6,81.32,0.001,0.0015,0.0,0.0015,7.0,0.0175,0.0001,0.0015,0.0042,"[[0.0015, 240.0]]","[[0.001, 1622.0]]",ETH-29NOV24-4500-C,2634.46,14429670958,1730245599940,0.03898,-0.48032,0.35846,7e-05,0.01893,0.0,0.0,,,,month,29NOV24,4500,0.0821917808219178
0.0,47.0,235.51,0.0,ETH-29NOV24,2690.6,88.96,0.0,0.946,0.0,0.8592,0.0,0.9445,0.787,0.883683,1.0505,"[[0.946, 47.0]]",[],ETH-29NOV24-5000-P,2634.46,14429679351,1730245599952,-4.13383,-0.33124,0.22598,4e-05,-0.98893,0.0,0.0,,,,month,29NOV24,5000,0.0821917808219178
0.0,0.0,0.0,0.0,ETH-29NOV24,2690.6,105.83,0.0,0.0,0.0,0.0018,250.0,0.019,0.0001,0.001616,0.0163,[],[],ETH-29NOV24-5500-C,2634.45,14361600771,1730245601954,0.03769,-0.56663,0.34779,5e-05,0.01756,0.0,0.0,,,,month,29NOV24,5500,0.0821917808219178
0.0,0.0,0.0,0.0,ETH-29NOV24,2690.6,117.74,0.0,0.0,0.0,0.0016,0.0,0.0165,0.0001,0.001416,0.0001,[],[],ETH-29NOV24-6500-C,2634.45,14252039986,1730245601954,0.03166,-0.48186,0.29269,4e-05,0.01358,0.0,0.0,,,,month,29NOV24,6500,0.0821917808219178
0.0,0.0,0.0,0.0,ETH-29NOV24,2690.6,105.83,0.0,0.0,0.0,1.0467,0.0,1.1425,0.966,1.073489,1.068,[],[],ETH-29NOV24-5500-P,2634.45,14252040098,1730245601954,-5.33394,-0.6824,0.46115,6e-05,-0.97687,0.0,0.0,,,,month,29NOV24,5500,0.0821917808219178
