best_bid_amount,best_ask_amount,bid_iv,ask_iv,underlying_index,underlying_price,mark_iv,interest_rate,best_bid_price,best_ask_price,open_interest,max_price,min_price,last_price,asks,bids,settlement_price,instrument_name,mark_price,index_price,change_id,timestamp,greeks.rho,greeks.theta,greeks.vega,greeks.gamma,greeks.delta,stats.volume_usd,stats.volume,stats.price_change,stats.low,stats.high,settlement_period
0.0,262.0,0.0,105.31,SYN.ETH-5FEB24,2304.3592,57.86,0.0,0.0,0.092,0.0,0.118,0.0605,0.0945,"[[0.092, 262.0]]",[],0.093017,ETH-5FEB24-2100-C,0.0888,2303.02,5968328720,1706969618096,0.09906,-0.67563,0.04064,0.00028,0.99047,108884.23,500.0,1.1777,0.0934,0.0945,day
11.0,1080.0,56.0,70.42,SYN.ETH-5FEB24,2304.3571,57.86,0.0,0.0001,0.0005,0.0,0.015,0.0001,0.0005,"[[0.0005, 1080.0], [0.0006, 2.0]]","[[0.0001, 11.0]]",0.00016,ETH-5FEB24-2100-P,0.0001,2303.01,5968327784,1706969619103,-0.00106,-0.29936,0.04065,0.00028,-0.00953,405.62,500.0,150.0,0.0002,0.0005,day
0.0,258.0,0.0,86.58,SYN.ETH-5FEB24,2304.3571,42.46,0.0,0.0,0.0705,0.0,0.0955,0.0385,,"[[0.0705, 258.0]]",[],0.071347,ETH-5FEB24-2150-C,0.0671,2303.01,5968328338,1706969619102,0.10155,-0.45678,0.03744,0.00035,0.99133,0.0,0.0,,,,day
0.0,12.0,0.0,43.29,SYN.ETH-5FEB24,2304.335,42.46,0.0,0.0,0.0001,224.0,0.015,0.0001,0.0001,"[[0.0001, 12.0], [0.0005, 360.0], [0.0009, 30.0]]",[],9.7e-05,ETH-5FEB24-2150-P,0.0001,2302.88,5968326671,1706969620110,-0.00096,-0.19758,0.03747,0.00035,-0.00868,70.81,236.0,-66.6667,0.0001,0.0003,day
3.0,208.0,0.0,69.81,SYN.ETH-5FEB24,2304.335,35.82,0.0,0.0265,0.0495,0.0,0.0745,0.0165,,"[[0.0495, 208.0]]","[[0.0265, 3.0]]",0.049936,ETH-5FEB24-2200-C,0.0456,2302.88,5968328892,1706969620109,0.1016,-1.10362,0.10724,0.00118,0.97034,0.0,0.0,,,,day
533.0,1077.0,30.48,41.15,SYN.ETH-5FEB24,2304.335,35.82,0.0,0.0001,0.0006,367.0,0.015,0.0001,0.0002,"[[0.0006, 1077.0], [0.0012, 717.0]]","[[0.0001, 533.0]]",0.000285,ETH-5FEB24-2200-P,0.0003,2302.88,5968326818,1706969620109,-0.00329,-0.65928,0.10724,0.00118,-0.02966,883.39,742.0,-77.7778,0.0002,0.0009,day
3.0,210.0,0.0,60.54,SYN.ETH-5FEB24,2304.205,23.94,0.0,0.0145,0.039,0.0,0.0625,0.006,,"[[0.039, 210.0]]","[[0.0145, 3.0]]",0.03905,ETH-5FEB24-2225-C,0.0345,2302.91,5968326697,1706969621116,0.10422,-0.45764,0.06653,0.0011,0.98316,0.0,0.0,,,,day
2.0,8.0,23.92,28.64,SYN.ETH-5FEB24,2304.205,23.94,0.0,0.0001,0.0003,178.0,0.015,0.0001,0.0002,"[[0.0003, 8.0], [0.0004, 214.0], [0.0005, 107.0], [0.0014, 710.0]]","[[0.0001, 2.0]]",0.00019,ETH-5FEB24-2225-P,0.0001,2302.91,5968321334,1706969621117,-0.00186,-0.23183,0.06653,0.0011,-0.01684,5101.73,1180.0,-91.3043,0.0002,0.0023,day
3.0,279.0,0.0,54.63,SYN.ETH-5FEB24,2304.205,23.56,0.0,0.003,0.0295,0.0,0.0525,0.0006,,"[[0.0295, 279.0]]","[[0.003, 3.0]]",0.028622,ETH-5FEB24-2250-C,0.024,2302.91,5968326133,1706969621116,0.09947,-1.45542,0.21501,0.0036,0.92941,0.0,0.0,,,,day
143.0,47.0,20.98,25.43,SYN.ETH-5FEB24,2304.2289,23.55,0.0,0.0003,0.0007,449.0,0.0175,0.0001,0.0006,"[[0.0007, 47.0], [0.0008, 47.0], [0.001, 238.0], [0.0013, 344.0], [0.002, 671.0]]","[[0.0003, 143.0], [0.0002, 1071.0], [0.0001, 69.0]]",0.000569,ETH-5FEB24-2250-P,0.0005,2302.9,5968327224,1706969622123,-0.00779,-1.17629,0.21465,0.0036,-0.07043,24397.1,3524.0,-87.234,0.0005,0.0047,day
