,index,best_bid_amount,best_ask_amount,bid_iv,ask_iv,underlying_index,underlying_price,mark_iv,interest_rate,best_bid_price,best_ask_price,open_interest,max_price,min_price,last_price,asks,bids,settlement_price,instrument_name,mark_price,index_price,change_id,timestamp,greeks.rho,greeks.theta,greeks.vega,greeks.gamma,greeks.delta,stats.volume_usd,stats.volume,stats.price_change,stats.low,stats.high,settlement_period,Expiration Date,Strike Price,Expiration_Date,Time to Expiration,Implied Volatility,SMA Volatility,BS Price,BS Price_1,Market Price,Calculated_BS_Price,Error,Optimized_BS_Price,Residual,gross_profit_loss,management_fee,incentive_fee,net_profit_loss,Ending_Net_Asset_Value,Monthly_Rate_of_Return,Unrealized_Gain_Loss,Change_in_Open_Trade_Equity,Net_Performance_wo_Fees,Net_Performance,Additions_Withdrawals,Additions,Withdrawals,VAMI
20,21,0.0,30.0,0.0,34.99,SYN.BTC-4FEB24,43045.8712,29.07,0.0,0.0,0.0004,98.3,0.5,0.0001,0.0001,"[[0.0004, 30.0], [0.0006, 36.0], [0.0007, 2.0], [0.0036, 2.0], [0.0085, 10.0], [0.0265, 1.0], [0.0325, 1.0]]",[],0.00033701,BTC-4FEB24-42000-P,0.0002,43038.59,20963043119,1706969376176,-0.02636,-6.5711,1.31879,0.00012,-0.02993,1651.51,100.7,-85.7143,0.0001,0.001,day,2024-02-04,42000,2024-02-04,0.0027397260273972,0.17495,,1048.59618454866,,0.0001,1046.303237651322,1046.303137651322,1047.0218691688424,1047.0217691688424,1046.303137651322,20.92606475302644,209.2606275302644,816.1164453680312,1000816.116445368,0.0008161164453680313,-1047.0217691688424,-0.028800000002320303,816.0876453680289,585.900953084738,230.2154922833014,230.2154922833014,0.0,1037707.3172315867
21,22,1.0,10.0,0.0,201.96,SYN.BTC-4FEB24,43045.8713,22.94,0.0,0.0005,0.046,0.0,0.5185,0.0001,,"[[0.046, 10.0], [0.0985, 0.2]]","[[0.0005, 1.0]]",0.01956532,BTC-4FEB24-42250-C,0.0186,43038.59,20963043026,1706969374794,0.82908,-17.32016,1.51024,0.00017,0.96473,0.0,0.0,,,,day,2024-02-04,42250,2024-02-04,0.0027397260273972,1.0098,,1354.0267880914434,,0.0001,1352.572434376092,1352.5723343760922,797.0288183900848,797.0287183900848,1352.572334376092,27.051448687521837,270.5144668752184,1055.0064188133517,1001055.0064188134,0.0010550064188133517,-797.0287183900848,249.9930507787576,1304.9994695921093,1007.4335540293691,47.5728647840001,47.5728647840001,0.0,1038802.1051121155
22,23,2.0,1.1,21.51,24.36,SYN.BTC-4FEB24,43045.8713,22.94,0.0,0.0001,0.0002,0.0,0.5,0.0001,0.0019,"[[0.0002, 1.1], [0.0003, 6.0], [0.0004, 6.0], [0.0005, 6.0], [0.0006, 26.0], [0.0009, 17.0], [0.0015, 51.0], [0.0105, 10.0]]","[[0.0001, 2.0]]",0.00079769,BTC-4FEB24-42250-P,0.0001,43038.59,20963041717,1706969374794,-0.03103,-6.24902,1.51024,0.00017,-0.03527,24517.57,200.0,-42.4242,0.0019,0.0038,day,2024-02-04,42250,2024-02-04,0.0027397260273972,0.22935,,811.2801019442195,,0.0019,809.1050880444163,809.1031880444164,797.0288183900848,797.0269183900848,809.1031880444164,16.182101760888326,161.8206376088833,631.1004486746447,1000631.1004486746,0.0006311004486746446,-797.0269183900848,0.0018000000000029104,631.1022486746447,453.0995093048731,178.00093936976566,178.00093936976566,0.0,1039457.6935867359
23,24,2.0,1.0,0.0,38.46,SYN.BTC-4FEB24,43045.8713,17.72,0.0,0.011,0.015,52.0,0.5125,0.0001,0.02,"[[0.015, 1.0], [0.0155, 0.5], [0.017, 36.0], [0.0425, 10.0]]","[[0.011, 2.0], [0.0105, 1.0]]",0.01375142,BTC-4FEB24-42500-C,0.0129,43038.59,20963042653,1706969374794,0.81708,-19.06091,2.15195,0.00032,0.94528,1209.2,1.9,73.913,0.0115,0.02,day,2024-02-04,42500,2024-02-04,0.0027397260273972,0.1923,,568.9361610125998,,0.02,566.8469078894705,566.8269078894705,547.0356676113297,547.0156676113297,566.8269078894705,11.33693815778941,113.3653815778941,442.124588153787,1000442.1245881538,0.00044212458815378697,-547.0156676113297,250.01125077875508,692.1358389325421,567.4335191968586,-125.3089310430679,0.0,125.3089310430679,1039917.2633914163
24,25,20.0,8.0,15.7,19.71,SYN.BTC-4FEB24,43045.8713,17.72,0.0,0.0001,0.0003,52.5,0.5,0.0001,0.0002,"[[0.0003, 8.0], [0.0004, 5.0], [0.0008, 26.0], [0.0009, 2.0], [0.0014, 15.0], [0.002, 48.0], [0.0125, 10.0]]","[[0.0001, 20.0]]",0.0007899,BTC-4FEB24-42500-P,0.0002,43038.59,20963042900,1706969374794,-0.04812,-8.008,2.15195,0.00032,-0.05472,71482.38,434.4,-96.4286,0.0002,0.0056,day,2024-02-04,42500,2024-02-04,0.0027397260273972,0.1770499999999999,,563.2850541308435,,0.0002,561.1531135949044,561.1529135949045,547.0356676113297,547.0354676113298,561.1529135949045,11.223062271898089,112.2305827189809,437.69926860402546,1000437.699268604,0.00043769926860402547,-547.0354676113298,-0.019800000000032014,437.67946860402543,314.2258236131464,123.47344499090025,123.47344499090025,0.0,1040372.4344170113
25,26,0.0,10.0,0.0,200.53,SYN.BTC-4FEB24,43045.8713,14.89,0.0,0.0,0.0395,0.0,0.507,0.0001,0.0099,"[[0.0395, 10.0], [0.0935, 0.4], [0.9, 1.0]]",[],0.00972126,BTC-4FEB24-42750-C,0.0074,43038.59,20963041277,1706969374794,0.73705,-33.94021,4.55876,0.00081,0.84849,45427.14,100.0,-13.1579,0.0098,0.0114,day,2024-02-04,42750,2024-02-04,0.0027397260273972,1.00265,,1054.9958059584496,,0.0099,1053.726011493618,1053.716111493618,297.04251683256734,297.0326168325673,1053.716111493618,21.07452022987236,210.7432222987236,821.898368965022,1000821.898368965,0.000821898368965022,-297.0326168325673,250.00285077876242,1071.9012197437844,840.0834772151884,-18.185108250168923,0.0,18.185108250168923,1041227.5148239748
26,27,3.3,1.7,12.49,17.26,SYN.BTC-4FEB24,43045.8713,14.89,0.0,0.0003,0.0008,2.3,0.5005,0.0001,0.0008,"[[0.0008, 1.7], [0.0009, 4.0], [0.0011, 1.0], [0.0013, 2.0], [0.0014, 23.0], [0.0022, 13.0], [0.0023, 45.0], [0.008, 2.0], [0.015, 10.0]]","[[0.0003, 3.3], [0.0001, 124.0]]",0.00256585,BTC-4FEB24-42750-P,0.0005,43038.59,20963042547,1706969374794,-0.13324,-22.81916,4.55876,0.00081,-0.15151,90286.74,402.3,-85.1852,0.0008,0.006,day,2024-02-04,42750,2024-02-04,0.0027397260273972,0.14875,,332.1962653360024,,0.0008,330.2941226560288,330.29332265602875,297.04251683256734,297.0417168325673,330.29332265602875,6.605882453120576,66.05866453120575,257.62877567170244,1000257.6287756717,0.00025762877567170247,-297.0417168325673,-0.00909999999998945,257.61967567170245,184.95512868737615,72.67364698433039,72.67364698433039,0.0,1041495.7649938146
27,28,0.1,3.0,14.07,19.13,SYN.BTC-4FEB24,43045.8713,14.47,0.0,0.0031,0.004,168.1,0.503,0.0001,0.0065,"[[0.004, 3.0], [0.0042, 32.8], [0.0044, 39.0], [0.0045, 18.0], [0.0285, 7.0], [0.0365, 10.0]]","[[0.0031, 0.1], [0.003, 40.0], [0.0029, 17.7], [0.0028, 26.0], [0.0023, 8.0], [0.0022, 36.0], [0.0001, 3.0]]",0.00429802,BTC-4FEB24-43000-C,0.0032,43038.59,20963042601,1706969374794,0.49333,-55.30502,7.6416,0.0014,0.56613,58061.01,194.6,18.1818,0.0047,0.0105,day,2024-02-04,43000,2024-02-04,0.0027397260273972,0.166,,174.48086498966586,,0.0065,173.18887465415537,173.18237465415538,47.04936605381226,47.04286605381226,173.18237465415538,3.4637774930831076,34.63647493083108,135.0821222302412,1000135.0821222302,0.0001350821222302412,-47.042866053812254,249.99885077875507,385.08097300899624,346.98072058508205,-211.89859835487823,0.0,211.89859835487823,1041636.4524520439
28,29,6.0,3.0,12.75,16.13,SYN.BTC-4FEB24,43045.8712,14.47,0.0,0.0018,0.0024,125.0,0.502,0.0001,0.0024,"[[0.0024, 3.0], [0.0025, 2.9], [0.0026, 3.0], [0.0027, 7.0], [0.0029, 2.9], [0.003, 14.0], [0.0045, 1.0], [0.0046, 36.0], [0.0175, 10.0], [0.032, 1.0]]","[[0.0018, 6.0], [0.0017, 25.0], [0.0016, 56.3], [0.0015, 31.0], [0.0014, 3.0], [0.0011, 1.0]]",0.00294871,BTC-4FEB24-43000-P,0.0021,43038.59,20963043118,1706969376065,-0.38203,-55.27951,7.64151,0.0014,-0.43385,55155.91,211.6,-71.7647,0.0023,0.009,day,2024-02-04,43000,2024-02-04,0.0027397260273972,0.1444,0.50571,155.2610964110827,478.8187665878068,0.0024,153.95103509618275,153.94863509618276,47.04926605381479,47.04686605381479,153.94863509618276,3.079020701923655,30.78972701923655,120.07988737502254,1000120.079887375,0.00012007988737502254,-47.04686605381479,-0.004000000002534421,120.07588737502,86.2071396538598,33.87274772114293,33.87274772114293,0.0,1041761.5320399401
29,30,0.4,8.0,18.57,20.49,SYN.BTC-4FEB24,43045.8713,19.5,0.0,0.0015,0.0018,0.0,0.5015,0.0001,,"[[0.0018, 8.0], [0.002, 3.1], [0.0023, 18.0], [0.0025, 14.0], [0.0027, 9.0], [0.0028, 27.0], [0.021, 10.0]]","[[0.0015, 0.4], [0.001, 7.0], [0.0009, 10.0], [0.0008, 10.0], [0.0007, 8.0], [0.0005, 28.0], [0.0004, 5.0], [0.0003, 6.0], [0.0002, 7.0]]",0.003431,BTC-4FEB24-43250-C,0.0016,43038.59,20963042896,1706969374794,0.25872,-65.51584,6.72082,0.00091,0.29688,0.0,0.0,,,,day,2024-02-04,43250,2024-02-04,0.0027397260273972,0.1953,0.4870366666666667,93.17464435148575,345.276427419416,0.0024,92.4142121525565,92.41181215255652,0.0,0.0024,92.41181215255651,1.8482842430511301,18.4823624305113,72.08116547899408,1000072.081165479,7.208116547899408e-05,0.0024,47.04926605381479,119.13043153280887,98.79978485924644,-26.718619380215983,0.0,26.718619380215983,1041836.6234253208
