best_bid_amount,best_ask_amount,ask_iv,bid_iv,underlying_index,underlying_price,mark_iv,best_bid_price,best_ask_price,interest_rate,mark_price,open_interest,max_price,min_price,settlement_price,last_price,asks,bids,instrument_name,index_price,change_id,timestamp,greeks.rho,greeks.theta,greeks.vega,greeks.gamma,greeks.delta,stats.volume_usd,stats.volume,stats.price_change,stats.low,stats.high,settlement_period,Expiration Date,Strike Price
38.3,38.3,72.31,52.46,BTC-29NOV24,68440.39,63.56,0.285,0.2895,0.0,0.287,63.4,0.3225,0.2555,0.27127543,0.3175,"[[0.2895, 38.3]]","[[0.285, 38.3]]",BTC-29NOV24-49000-C,66857.88,29188427275,1729886283794,43.84154,-15.08923,16.38242,1e-05,0.96468,0.0,0.0,,,,month,29NOV24,49000
33.4,38.3,66.32,49.11,BTC-29NOV24,68440.39,60.17,0.242,0.2475,0.0,0.2451,0.0,0.284,0.211,0.22838188,0.2225,"[[0.2475, 38.3]]","[[0.242, 33.4]]",BTC-29NOV24-52000-C,66857.88,29188389951,1729886283691,45.12971,-21.09681,24.19368,1e-05,0.94265,0.0,0.0,,,,month,29NOV24,52000
38.2,38.2,70.47,53.78,BTC-29NOV24,68440.39,62.24,0.271,0.2755,0.0,0.2729,74.2,0.3095,0.2405,0.25683264,0.277,"[[0.2755, 38.2]]","[[0.271, 38.2]]",BTC-29NOV24-50000-C,66857.88,29188427209,1729886283691,44.37064,-16.77105,18.59338,1e-05,0.95874,0.0,0.0,,,,month,29NOV24,50000
10.9,17.0,61.51,59.87,BTC-29NOV24,68440.39,60.67,0.0037,0.0042,0.0,0.0039,200.5,0.0235,0.0001,0.00574635,0.0032,"[[0.0042, 17.0]]","[[0.0037, 10.9]]",BTC-29NOV24-51000-P,66857.88,29188232315,1729886283794,-3.32639,-18.30188,20.82006,1e-05,-0.04746,2302.09,10.7,0.0,0.0032,0.0032,month,29NOV24,51000
2.2,14.8,63.17,61.34,BTC-29NOV24,68440.39,62.24,0.0032,0.0037,0.0,0.0034,128.1,0.022,0.0001,0.00501275,0.0036,"[[0.0037, 14.8]]","[[0.0032, 2.2]]",BTC-29NOV24-50000-P,66857.88,29188382034,1729886283794,-2.89217,-16.77218,18.59614,1e-05,-0.04126,1951.53,8.0,0.0,0.0036,0.0036,month,29NOV24,50000
38.2,35.2,68.46,48.5,BTC-29NOV24,68440.39,60.67,0.256,0.2615,0.0,0.2587,45.3,0.2965,0.226,0.24260197,0.2365,"[[0.2615, 35.2]]","[[0.256, 38.2]]",BTC-29NOV24-51000-C,66857.88,29188423372,1729886283691,44.88312,-18.29861,20.81132,1e-05,0.95255,0.0,0.0,,,,month,29NOV24,51000
21.8,23.0,64.61,62.53,BTC-29NOV24,68440.39,63.56,0.0027,0.0032,0.0,0.0029,143.6,0.0205,0.0001,0.004494,0.005,"[[0.0032, 23.0]]","[[0.0027, 21.8]]",BTC-29NOV24-49000-P,66857.88,29188379570,1729886283691,-2.47596,-15.0904,16.385,1e-05,-0.03533,0.0,0.0,,,,month,29NOV24,49000
203.4,84.1,58.53,56.26,BTC-29NOV24,68440.39,57.38,0.006,0.007,0.0,0.0065,123.4,0.031,0.0001,0.00897538,0.0105,"[[0.007, 84.1]]","[[0.006, 203.4]]",BTC-29NOV24-54000-P,66857.88,29188388421,1729886283794,-5.34515,-25.05159,30.12964,1e-05,-0.07613,0.0,0.0,,,,month,29NOV24,54000
144.1,67.1,61.89,58.49,BTC-29NOV24,68440.39,60.17,0.0043,0.0055,0.0,0.0049,26.3,0.0265,0.0001,0.00648987,0.005,"[[0.0055, 67.1]]","[[0.0043, 144.1]]",BTC-29NOV24-52000-P,66857.88,29188408621,1729886283691,-4.02553,-21.0963,24.19212,1e-05,-0.05735,0.0,0.0,,,,month,29NOV24,52000
38.5,38.5,65.13,52.42,BTC-29NOV24,68440.39,59.0,0.229,0.234,0.0,0.2313,25.6,0.2715,0.1965,0.21465907,0.2415,"[[0.234, 38.5]]","[[0.229, 38.5]]",BTC-29NOV24-53000-C,66857.88,29188388418,1729886283691,45.40925,-23.30124,27.25163,1e-05,0.9332,0.0,0.0,,,,month,29NOV24,53000
